grid_width=2;num_cells=105,,
cell_id,cell_centroid_x,cell_centroid_y
1,153.024,-27.4669
2,153.029,-27.4839
3,153.034,-27.4525
4,153.043,-27.4981
5,153.015,-27.4738
6,153.011,-27.4547
7,152.988,-27.4921
8,153.028,-27.4969
9,152.999,-27.4782
10,153.064,-27.493
11,153.036,-27.4318
12,153.05,-27.4728
13,152.989,-27.4518
14,152.972,-27.5006
15,153.056,-27.5218
16,153.036,-27.5133
17,153.003,-27.4987
18,153.033,-27.4136
19,153.009,-27.433
20,153.082,-27.561
21,153.057,-27.4169
22,153.069,-27.4683
23,153.061,-27.5788
24,153.024,-27.3861
25,153.057,-27.4374
26,152.953,-27.5085
27,153.064,-27.5518
28,153.089,-27.4945
29,152.995,-27.4247
30,153.044,-27.5597
31,153.076,-27.5262
32,153.093,-27.5312
33,153.009,-27.407
34,153.105,-27.5026
35,153.097,-27.5474
36,153.021,-27.5252
37,153.041,-27.394
38,152.961,-27.4472
39,153.07,-27.432
40,152.936,-27.5115
41,153.129,-27.4783
42,153.058,-27.6038
43,153.094,-27.4699
44,153.018,-27.3683
45,152.989,-27.3895
46,153.062,-27.3947
47,152.988,-27.4104
48,153.091,-27.5783
49,152.945,-27.5321
50,153.025,-27.5422
51,153.081,-27.5958
52,152.983,-27.4676
53,153.163,-27.468
54,152.974,-27.3654
55,152.942,-27.443
56,153.041,-27.3659
57,152.944,-27.493
58,153.025,-27.5554
59,153.021,-27.5826
60,153.039,-27.3463
61,152.935,-27.5488
62,153.058,-27.3517
63,152.968,-27.3493
64,153.017,-27.3502
65,153.074,-27.3781
66,153.153,-27.4513
67,152.965,-27.6215
68,153.038,-27.6097
69,153.034,-27.3246
70,153.002,-27.3539
71,153.18,-27.4609
72,152.985,-27.5263
73,153.054,-27.6255
74,152.971,-27.409
75,153.073,-27.4185
76,152.918,-27.5268
77,152.882,-27.5613
78,153.166,-27.4405
79,153.034,-27.6322
80,152.953,-27.3372
81,152.95,-27.6022
82,152.974,-27.5433
83,153.063,-27.321
84,152.978,-27.5927
85,153.098,-27.4245
86,152.916,-27.5553
87,152.956,-27.5537
88,152.966,-27.6076
89,152.895,-27.5406
90,152.945,-27.4062
91,152.925,-27.409
92,153.113,-27.5199
93,152.917,-27.4966
94,152.961,-27.3935
95,153.051,-27.3035
96,153.116,-27.4254
97,152.993,-27.595
98,152.983,-27.5777
99,153.042,-27.6617
100,152.99,-27.3143
101,152.972,-27.3265
102,153.132,-27.3967
103,152.88,-27.4842
104,152.991,-27.6348
105,153.008,-27.3222